ID,Date,Open,High,Low,Close,Short Open,Short High,Short Low,Short Close
1,2/11/2010,1.68,1.75,1.67,1.74,20600.32,20800.00,19535.36,19706.88
2,2/12/2010,1.68,1.75,1.67,1.74,20293.12,20308.48,19443.20,19543.04
3,2/16/2010,1.78,1.81,1.75,1.80,19118.08,19438.08,18790.40,18849.28
4,2/17/2010,1.83,1.84,1.80,1.84,18598.40,18877.44,18506.24,18560.00
5,2/18/2010,1.83,1.88,1.82,1.87,18536.96,18624.00,18060.80,18114.56
6,2/19/2010,1.86,1.89,1.84,1.87,18278.40,18426.88,17920.00,18163.20
